fromNode,toNode,numTrips,avgFare,avgTip,avgDistance,tolls
151,162,721,20.24773925104016,2.5677808599167835,3.635991678224687,0.0
151,163,1066,16.168114446528975,2.038058161350846,2.822776735459669,0.0
151,160,3,44.94666666666666,6.226666666666667,11.020000000000001,5.76
151,161,791,19.2645132743361,2.3566750948166897,3.5226295828065766,0.0
151,166,4954,7.728681873233729,0.8615825595478417,0.9611667339523617,0.0
151,167,16,23.819375000000004,0.48812500000000003,6.339374999999999,0.0
151,164,277,23.50155234657045,2.833646209386279,4.58216606498195,0.0
151,165,2,45.83,1.5,14.765,0.0
151,170,399,23.324636591478708,2.77997493734336,4.523383458646613,0.0
151,168,68,17.49794117647057,0.4038235294117647,3.9474999999999993,0.0
151,169,18,25.012222222222228,1.4016666666666664,6.597777777777778,0.0
151,174,6,38.22,1.1266666666666667,11.65,2.64
151,173,2,40.06,0.0,9.86,5.76
151,178,1,49.01,0.0,15.06,5.76
151,179,11,31.502727272727274,3.584545454545454,6.58818181818182,5.76
151,177,6,55.643333333333324,0.0,14.318333333333333,0.0
151,182,5,30.869999999999997,0.0,9.664,0.0
151,183,1,43.06,0.0,10.9,5.76
151,181,14,45.97928571428571,4.427142857142858,11.819999999999999,0.0
151,186,418,20.99421052631585,2.3162200956937804,4.536746411483245,0.0
151,185,5,36.602,1.612,11.41,0.0
151,190,3,42.85999999999999,4.466666666666667,11.863333333333335,0.0
151,188,5,46.066,1.04,14.358,0.0
151,189,2,45.36,7.5600000000000005,11.895,0.0
151,194,1,58.56,0.0,4.57,5.76
151,195,2,50.485,10.055,12.045,5.76
151,193,9,19.560000000000002,0.5555555555555556,5.116666666666668,0.0
151,198,5,45.6,5.148000000000001,10.696000000000002,5.0
151,196,5,45.205999999999996,0.0,11.678,5.76
151,197,5,57.65,3.342,15.084,5.76
151,202,1,26.8,3.0,6.81,0.0
151,203,1,66.06,0.0,20.6,5.76
151,200,27,31.696296296296286,3.347407407407408,8.46888888888889,2.64
151,210,8,73.28125,0.0,21.696250000000003,5.76
151,211,53,30.32377358490565,3.5081132075471704,6.923962264150944,0.0
151,208,3,41.089999999999996,1.0,12.476666666666667,5.76
151,209,14,32.572857142857146,3.016428571428572,8.880714285714285,0.0
151,215,1,74.06,0.0,17.25,5.76
151,212,19,30.577894736842108,0.0,8.190526315789475,0.0
151,213,12,29.759166666666673,0.8766666666666666,8.3275,0.0
151,218,2,76.06,0.5,23.810000000000002,5.76
151,219,8,60.61,0.0,19.86125,5.76
151,216,9,64.9977777777778,2.522222222222222,19.213333333333335,5.76
151,217,5,39.12400000000001,0.2,10.277999999999999,0.0
151,222,1,72.56,0.0,21.18,5.76
151,223,14,36.81785714285714,5.920714285714285,7.140714285714286,5.76
151,220,53,29.947924528301886,2.0086792452830187,7.943207547169813,2.64
151,226,44,27.532954545454537,1.9200000000000002,6.543636363636364,0.0
151,227,3,51.633333333333326,0.0,16.169999999999998,0.0
151,224,29,26.69172413793103,3.2537931034482757,6.182413793103449,0.0
151,225,7,47.901428571428575,1.78,13.457142857142856,0.0
151,230,923,17.110736728060548,2.1857096424702034,3.189685807150595,0.0
151,231,187,30.581069518716635,3.9087165775401065,7.221764705882348,0.0
151,228,3,45.91,4.4366666666666665,12.556666666666667,5.76
151,229,306,20.565882352941237,2.0993790849673224,3.96493464052288,0.0
151,234,298,25.88828859060409,3.3934563758389253,5.4510067114093985,0.0
151,235,23,24.819565217391304,1.310869565217391,6.690434782608697,0.0
151,232,27,29.458888888888882,2.4922222222222223,7.744074074074074,0.0
151,233,174,22.576264367816126,2.6733908045977026,4.57885057471264,0.0
151,238,10666,7.00628445527914,0.8191186949184334,0.7110997562347651,0.0
151,239,9089,8.828021784575446,1.0924425129277073,1.1826790626031414,0.0
151,236,3747,11.515812650120242,1.382802241793435,1.7552815585801917,0.0
151,237,1476,16.01260840108382,1.8923848238482373,2.7731165311653085,0.0
151,242,4,39.489999999999995,0.0,11.275,0.0
151,243,242,21.771074380165356,2.231404958677687,5.4335123966942165,0.0
151,240,7,36.15571428571429,0.8842857142857142,11.218571428571428,0.0
151,241,5,34.006,2.05,9.762,0.0
151,246,495,19.347757575757562,2.21957575757576,4.49389898989899,0.0
151,247,52,19.51673076923076,0.6032692307692309,4.848461538461538,0.0
151,244,913,17.831292442497094,1.768718510405259,4.03018619934282,0.0
151,250,5,33.791999999999994,1.592,9.547999999999998,0.0
151,248,17,27.868235294117653,0.42352941176470593,8.822941176470588,0.0
151,249,132,25.60704545454548,3.0476515151515153,5.958257575757574,0.0
151,254,12,31.80416666666666,0.9133333333333332,12.145833333333334,0.0
151,255,11,40.053636363636365,5.134545454545455,9.870909090909093,0.0
151,252,1,50.3,0.0,16.9,0.0
151,259,10,34.764,0.0,11.586,0.0
151,256,12,37.73416666666667,2.983333333333333,10.246666666666668,0.0
151,257,5,51.986000000000004,5.425999999999999,13.23,5.76
151,262,549,15.043497267759609,1.862987249544627,2.4746083788706748,0.0
151,263,1072,13.073236940298402,1.5066324626865673,2.084925373134327,0.0
151,260,10,35.913,4.099,8.513000000000002,5.76
151,261,28,33.79071428571428,5.365714285714287,7.865714285714285,0.0
151,264,100,9.906799999999988,0.6422,1.1153000000000004,0.0
151,265,23,55.29869565217391,3.3760869565217395,12.603478260869563,2.64
151,10,2,64.67,6.3,16.57,5.76
151,11,1,55.97,0.0,18.21,5.76
151,12,18,34.081111111111106,4.336666666666667,8.096111111111108,0.0
151,13,133,29.33631578947371,3.6077443609022546,7.343157894736843,0.0
151,14,23,58.731304347826075,8.00304347826087,15.355217391304349,5.76
151,17,6,54.88666666666666,10.253333333333332,12.37,0.0
151,18,10,29.375000000000007,0.7250000000000001,8.489,0.0
151,20,7,39.20142857142857,4.935714285714285,10.178571428571429,5.76
151,22,3,57.053333333333335,0.0,18.826666666666668,5.76
151,24,2012,6.643717693836869,0.7369582504970186,0.6630616302186856,0.0
151,25,18,39.57000000000001,3.022777777777778,10.660000000000002,0.0
151,26,6,48.68,0.0,14.166666666666666,5.76
151,28,2,49.43,2.0,13.86,0.0
151,31,4,43.7025,7.6775,11.515,0.0
151,32,7,37.54142857142857,3.0785714285714287,11.285714285714286,0.0
151,33,19,39.98157894736841,4.899473684210527,10.304736842105266,0.0
151,34,13,37.06923076923077,0.4230769230769231,11.920769230769231,0.0
151,35,10,65.405,0.0,18.935000000000002,0.0
151,36,2,49.66,3.98,12.92,5.76
151,37,4,46.692499999999995,4.202500000000001,12.8975,5.76
151,40,13,43.71692307692309,3.147692307692308,11.614615384615385,0.0
151,41,2829,9.323944856839617,0.9175892541534109,1.3114740190880176,0.0
151,42,1067,13.07554826616667,1.0155201499531397,2.3781537019681283,0.0
151,43,1340,10.717753731343162,1.2176492537313408,1.593111940298508,0.0
151,44,1,120.36,20.06,30.23,15.5
151,45,38,33.991578947368396,3.6531578947368417,8.138947368421057,0.0
151,47,26,28.640769230769227,2.8034615384615384,7.258846153846155,0.0
151,48,1256,16.17871815286606,1.8270143312101907,3.171767515923562,0.0
151,49,12,43.856666666666676,4.160833333333334,11.610000000000001,0.0
151,50,586,15.512491467576822,1.737320819112628,3.2269453924914675,0.0
151,51,5,46.4,6.0,13.74,0.0
151,52,7,39.85,3.8699999999999997,11.072857142857144,0.0
151,55,7,66.04,0.7142857142857143,21.814285714285717,0.0
151,56,2,49.265,4.455,12.145,5.76
151,58,1,53.2,10.64,10.73,5.76
151,59,2,26.3,0.0,8.15,0.0
151,60,3,25.816666666666666,0.0,7.463333333333334,0.0
151,61,8,50.988749999999996,4.422499999999999,13.37,0.0
151,63,1,65.06,0.0,20.48,5.76
151,64,2,66.56,4.5,19.415,5.76
151,65,12,35.10750000000001,1.24,10.565,0.0
